iter	Passed	Remaining
160	12692	66142
161	12794	66185
162	12899	66238
163	12998	66261
164	13100	66298
165	13232	66482
166	13340	66544
167	13471	66717
168	13595	66853
169	13727	67020
170	13848	67138
171	14067	67722
172	14243	68088
173	14451	68603
174	14573	68704
175	14697	68811
176	14818	68902
177	14914	68875
178	15008	68839
179	15149	69014
180	15235	68940
181	15353	69006
182	15662	69923
183	15788	70017
184	15897	70033
185	16008	70058
186	16085	69931
187	16194	69947
188	16287	69889
189	16369	69785
190	16462	69726
191	16542	69616
192	16620	69497
193	16701	69389
194	16775	69254
195	16849	69117
196	16920	68971
197	17000	68859
198	17076	68735
199	17151	68604
200	17237	68522
201	17318	68418
202	17386	68262
203	17455	68108
204	17514	67920
205	17582	67768
206	17661	67658
207	17728	67506
208	17816	67430
209	17886	67289
210	17971	67201
211	18027	67006
212	18083	66815
213	18136	66612
214	18191	66421
215	18246	66227
216	18300	66035
217	18357	65851
218	18412	65662
219	18467	65475
220	18534	65331
221	18593	65161
222	18652	64989
223	18717	64841
224	18778	64681
225	18839	64519
226	18907	64384
227	18983	64276
228	19043	64117
229	19102	63950
230	19164	63799
231	19228	63653
232	19292	63507
233	19355	63359
234	19415	63203
235	19473	63042
236	19530	62877
237	19586	62710
238	19641	62539
239	19695	62368
240	19758	62226
241	19818	62075
242	19871	61903
243	19925	61735
244	19996	61622
245	20076	61535
246	20141	61402
247	20205	61269
248	20266	61126
249	20334	61002
250	20394	60857
251	20454	60712
252	20518	60582
253	20573	60425
254	20632	60278
255	20689	60129
256	20749	59988
257	20805	59836
258	20870	59710
259	20930	59570
260	20986	59420
261	21047	59286
262	21102	59134
263	21178	59044
264	21253	58948
265	21328	58855
266	21408	58773
267	21475	58656
268	21543	58544
269	21633	58489
270	21701	58377
271	21775	58281
272	21856	58203
273	21923	58088
274	21995	57988
275	22058	57863
276	22114	57721
277	22171	57582
278	22231	57450
279	22299	57342
280	22376	57254
281	22455	57174
282	22513	57039
283	22570	56903
284	22628	56768
285	22690	56645
286	22748	56514
287	22805	56380
288	22871	56269
289	22971	56240
290	23067	56201
291	23138	56102
292	23210	56005
293	23282	55910
294	23351	55807
295	23409	55677
296	23487	55594
297	23548	55474
298	23599	55328
299	23655	55196
300	23711	55064
301	23763	54923
302	23817	54787
303	23874	54659
304	23928	54525
305	23978	54382
306	24039	54264
307	24105	54159
308	24165	54039
309	24233	53939
310	24296	53827
311	24362	53722
312	24418	53595
313	24477	53476
314	24535	53354
315	24598	53244
316	24678	53171
317	24760	53101
318	24844	53038
319	24930	52976
320	25062	53014
321	25164	52985
322	25260	52945
323	25339	52867
324	25407	52769
325	25468	52655
326	25524	52532
327	25576	52401
328	25628	52270
329	25678	52134
330	25730	52005
331	25791	51893
332	25843	51763
333	25895	51635
334	25950	51514
335	26001	51383
336	26051	51252
337	26107	51132
338	26162	51012
339	26224	50905
340	26293	50814
341	26349	50696
342	26405	50579
343	26463	50466
344	26517	50344
345	26564	50211
346	26618	50091
347	26667	49964
348	26719	49840
349	26766	49708
350	26814	49580
351	26865	49457
352	26930	49359
353	27019	49306
354	27105	49247
355	27161	49134
356	27217	49022
357	27273	48908
358	27326	48791
359	27376	48668
360	27431	48556
361	27490	48450
362	27560	48363
363	27624	48267
364	27694	48179
365	27758	48084
366	27815	47975
367	27880	47882
368	27938	47776
369	27996	47669
370	28051	47558
371	28106	47448
372	28163	47341
373	28221	47236
374	28274	47124
375	28327	47011
376	28382	46903
377	28435	46790
378	28489	46680
379	28544	46572
380	28606	46475
381	28694	46421
382	28765	46339
383	28853	46285
384	28913	46185
385	28962	46069
386	29022	45971
387	29082	45871
388	29151	45787
389	29219	45702
390	29289	45619
391	29362	45541
392	29447	45482
393	29520	45405
394	29587	45317
395	29641	45210
396	29694	45102
397	29763	45019
398	29818	44914
399	29879	44818
400	29933	44713
401	29995	44619
402	30052	44518
403	30103	44410
404	30157	44304
405	30218	44211
406	30275	44111
407	30330	44008
408	30379	43898
409	30429	43788
410	30484	43686
411	30553	43605
412	30630	43535
413	30692	43443
414	30750	43346
415	30808	43250
416	30866	43153
417	30927	43062
418	30982	42960
419	31043	42869
420	31092	42761
421	31154	42671
422	31225	42593
423	31292	42511
424	31357	42425
425	31416	42331
426	31476	42239
427	31534	42144
428	31590	42047
429	31653	41958
430	31710	41863
431	31772	41774
432	31837	41690
433	31892	41592
434	31953	41502
435	32025	41427
436	32084	41335
437	32142	41242
438	32205	41155
439	32274	41076
440	32347	41003
441	32403	40907
442	32490	40851
443	32552	40764
444	32612	40674
445	32665	40575
446	32730	40492
447	32781	40391
448	32847	40309
449	32914	40228
450	32978	40145
451	33033	40049
452	33091	39958
453	33138	39853
454	33188	39752
455	33242	39657
456	33300	39566
457	33354	39472
458	33412	39381
459	33467	39288
460	33541	39216
461	33599	39126
462	33655	39034
463	33753	38990
464	33838	38931
465	33899	38846
466	33957	38756
467	34009	38660
468	34066	38570
469	34125	38481
470	34186	38395
471	34261	38326
472	34340	38260
473	34404	38178
474	34462	38089
475	34516	37997
476	34577	37912
477	34669	37860
478	34739	37785
479	34797	37697
480	34858	37612
481	34920	37528
482	34992	37456
483	35061	37379
484	35121	37294
485	35180	37207
486	35254	37136
487	35383	37123
488	35448	37043
489	35554	37005
490	35770	37082
491	35894	37061
492	36010	37032
493	36137	37015
494	36236	36968
495	36328	36914
496	36413	36853
497	36531	36824
498	36648	36795
499	36751	36751
500	36844	36696
501	36931	36637
502	37029	36587
503	37121	36532
504	37199	36463
505	37266	36382
506	37336	36305
507	37418	36240
508	37515	36188
509	37609	36134
510	37678	36056
511	37756	35986
512	37842	35924
513	37960	35892
514	38094	35875
515	38204	35835
516	38303	35784
517	38392	35724
518	38459	35643
519	38524	35561
520	38600	35488
521	38669	35410
522	38739	35332
523	38811	35256
524	38873	35171
525	38952	35101
526	39040	35040
527	39141	34989
528	39240	34938
529	39335	34882
530	39423	34820
531	39519	34764
532	39593	34690
533	39664	34613
534	39737	34538
535	39805	34458
536	39876	34381
537	39943	34301
538	40031	34238
539	40131	34185
540	40224	34127
541	40294	34049
542	40366	33973
543	40431	33891
544	40493	33806
545	40572	33735
546	40664	33676
547	40747	33609
548	40827	33539
549	40910	33472
550	40994	33405
551	41075	33336
552	41139	33253
553	41204	33171
554	41307	33120
555	41389	33052
556	41472	32984
557	41566	32925
558	41641	32851
559	41727	32785
560	41806	32714
561	41881	32640
562	41975	32581
563	42074	32525
564	42177	32473
565	42284	32423
566	42386	32368
567	42487	32314
568	42573	32248
569	42674	32192
570	42762	32127
571	42851	32064
572	42938	31997
573	43046	31947
574	43142	31888
575	43248	31835
576	43399	31816
577	43519	31773
578	43651	31739
579	43769	31694
580	43878	31643
581	43971	31580
582	44050	31508
583	44142	31443
584	44229	31376
585	44305	31300
586	44393	31234
587	44482	31168
588	44577	31105
589	44650	31028
590	44786	30994
591	44901	30945
592	44996	30883
593	45144	30856
594	45246	30798
595	45344	30737
596	45436	30671
597	45533	30609
598	45632	30548
599	45729	30486
600	45819	30419
601	45929	30365
602	46016	30296
603	46107	30229
604	46210	30170
605	46307	30107
606	46419	30054
607	46512	29988
608	46601	29919
609	46690	29851
610	46796	29793
611	46890	29727
612	46994	29668
613	47095	29606
614	47184	29538
615	47269	29466
616	47340	29386
617	47444	29326
618	47568	29278
619	47655	29208
620	47750	29142
621	47861	29086
622	47948	29015
623	48032	28942
624	48103	28861
625	48188	28790
626	48347	28762
627	48485	28720
628	48578	28652
629	48670	28584
630	48743	28504
631	48812	28422
632	48882	28341
633	48960	28264
634	49024	28179
635	49097	28099
636	49176	28023
637	49273	27957
638	49362	27886
639	49438	27809
640	49512	27730
641	49578	27646
642	49637	27559
643	49708	27478
644	49771	27393
645	49828	27305
646	49904	27227
647	49972	27145
648	50039	27062
649	50107	26980
650	50164	26893
651	50233	26811
652	50302	26730
653	50362	26644
654	50448	26572
655	50530	26497
656	50620	26427
657	50700	26352
658	50764	26267
659	50837	26189
660	50899	26104
661	50966	26021
662	51042	25944
663	51121	25868
664	51184	25784
665	51263	25708
666	51330	25626
667	51392	25542
668	51454	25457
669	51511	25371
670	51579	25290
671	51647	25209
672	51715	25127
673	51805	25057
674	51885	24981
675	51964	24906
676	52063	24839
677	52132	24759
678	52193	24674
679	52267	24596
680	52337	24516
681	52406	24435
682	52468	24352
683	52522	24264
684	52587	24182
685	52655	24101
686	52725	24021
687	52807	23947
688	52884	23871
689	52946	23787
690	53010	23705
691	53074	23622
692	53157	23548
693	53239	23474
694	53325	23401
695	53405	23326
696	53482	23249
697	53544	23166
698	53621	23090
699	53684	23007
700	53755	22928
701	53811	22843
702	53886	22765
703	53958	22687
704	54030	22608
705	54100	22528
706	54165	22447
707	54227	22365
708	54295	22284
709	54366	22205
710	54445	22130
711	54520	22053
712	54604	21979
713	54679	21902
714	54740	21819
715	54802	21737
716	54874	21659
717	54948	21581
718	55011	21499
719	55072	21417
720	55140	21337
721	55208	21257
722	55264	21173
723	55335	21094
724	55399	21013
725	55458	20930
726	55519	20848
727	55578	20765
728	55645	20685
729	55712	20605
730	55796	20532
731	55903	20467
732	56008	20401
733	56091	20327
734	56172	20252
735	56257	20179
736	56348	20108
737	56446	20039
738	56546	19971
739	56645	19902
740	56726	19827
741	56818	19756
742	56950	19698
743	57068	19636
744	57182	19572
745	57310	19513
746	57678	19535
747	58013	19544
748	58342	19551
749	58493	19497
750	58711	19466
751	58877	19417
752	59075	19378
753	59214	19319
754	59398	19274
755	59627	19244
756	59814	19200
757	60133	19198
758	60354	19163
759	60736	19180
760	60892	19124
761	61247	19129
762	61466	19092
763	61696	19058
764	62026	19053
765	62292	19029
766	62490	18983
767	62677	18933
768	62902	18895
769	63175	18870
770	63343	18814
771	63535	18764
772	63796	18734
773	64062	18705
774	64358	18684
775	64580	18641
776	64742	18581
777	64892	18516
778	65054	18455
779	65209	18392
780	65356	18326
781	65526	18266
782	65669	18199
783	65787	18125
784	65915	18053
785	66023	17975
786	66127	17897
787	66262	17827
788	66387	17753
789	66508	17679
790	66620	17602
791	66737	17527
792	66852	17450
793	67053	17396
794	67150	17315
795	67283	17243
796	67452	17180
797	67645	17123
798	67793	17054
799	67979	16994
800	68095	16917
801	68189	16834
802	68283	16751
803	68350	16662
804	68422	16574
805	68494	16486
806	68571	16399
807	68650	16312
808	68726	16225
809	68805	16139
810	68869	16049
811	68959	15966
812	69075	15888
813	69159	15803
814	69255	15720
815	69346	15636
816	69445	15555
817	69511	15465
818	69575	15376
819	69646	15288
820	69716	15200
821	69795	15113
822	69868	15026
823	69972	14945
824	70253	14902
825	70479	14846
826	70579	14764
827	70674	14681
828	70832	14610
829	71004	14543
830	71217	14483
831	71358	14408
832	71502	14334
833	71579	14247
834	71642	14156
835	71717	14069
836	71784	13979
837	71914	13902
838	72032	13822
839	72163	13745
840	72304	13669
841	72441	13593
842	72612	13523
843	72786	13453
844	72947	13380
845	73130	13312
846	73291	13239
847	73393	13155
848	73511	13074
849	73583	12985
850	73649	12895
851	73729	12807
852	73847	12726
853	73991	12649
854	74097	12566
855	74189	12480
856	74295	12397
857	74557	12339
858	74730	12266
859	74849	12184
860	74968	12102
861	75087	12020
862	75182	11935
863	75270	11848
864	75349	11759
865	75427	11671
866	75499	11581
867	75581	11493
868	75665	11406
869	75749	11318
870	75847	11233
871	75927	11145
872	76014	11058
873	76095	10970
874	76176	10882
875	76279	10797
876	76365	10710
877	76438	10621
878	76521	10533
879	76609	10446
880	76716	10362
881	76799	10274
882	76886	10187
883	76968	10099
884	77057	10013
885	77146	9926
886	77236	9839
887	77331	9753
888	77425	9667
889	77504	9579
890	77596	9492
891	77687	9406
892	77760	9317
893	77851	9230
894	77951	9145
895	78028	9056
896	78113	8969
897	78217	8884
898	78313	8798
899	78403	8711
900	78513	8626
901	78606	8540
902	78732	8457
903	78923	8381
904	79063	8299
905	79172	8214
906	79291	8130
907	79387	8043
908	79509	7959
909	79625	7875
910	79734	7789
911	79877	7707
912	79968	7620
913	80054	7532
914	80147	7445
915	80239	7358
916	80380	7275
917	80587	7198
918	80808	7122
919	81019	7045
920	81163	6961
921	81269	6875
922	81346	6786
923	81437	6698
924	81527	6610
925	81606	6521
926	81679	6432
927	81805	6347
928	81938	6262
929	82074	6177
930	82166	6089
931	82233	5999
932	82307	5910
933	82369	5820
934	82428	5730
935	82488	5640
936	82534	5549
937	82604	5460
938	82688	5371
939	82798	5285
940	82887	5196
941	82945	5107
942	82997	5016
943	83056	4927
944	83111	4837
945	83171	4747
946	83243	4658
947	83303	4569
948	83374	4480
949	83441	4391
950	83531	4303
951	83624	4216
952	83735	4129
953	83792	4040
954	83856	3951
955	83921	3862
956	84013	3774
957	84097	3686
958	84174	3598
959	84270	3511
960	84324	3422
961	84470	3336
962	84635	3251
963	84746	3164
964	84794	3075
965	84853	2986
966	84917	2897
967	84977	2809
968	85036	2720
969	85090	2631
970	85154	2543
971	85211	2454
972	85272	2366
973	85339	2278
974	85414	2190
975	85499	2102
976	85589	2014
977	85656	1926
978	85712	1838
979	85766	1750
980	85831	1662
981	85889	1574
982	85945	1486
983	86010	1398
984	86066	1310
985	86124	1222
986	86179	1135
987	86234	1047
988	86293	959
989	86345	872
990	86412	784
991	86474	697
992	86529	609
993	86592	522
994	86672	435
995	86748	348
996	86827	261
997	86905	174
998	86958	87
999	87019	0
