iter	Passed	Remaining
0	115	115123
1	194	97191
2	268	89144
3	345	85943
4	429	85393
5	501	83045
6	569	80830
7	643	79784
8	712	78431
9	776	76839
10	843	75838
11	913	75248
12	981	74549
13	1081	76143
14	1158	76048
15	1230	75692
16	1302	75335
17	1377	75175
18	1458	75307
19	1586	77727
20	1691	78834
21	1758	78164
22	1810	76901
23	1888	76807
24	1972	76913
25	2033	76162
26	2097	75601
27	2159	74972
28	2219	74303
29	2282	73805
30	2344	73270
31	2407	72841
32	2474	72521
33	2540	72194
34	2598	71650
35	2654	71083
36	2715	70686
37	2774	70241
38	2843	70070
39	2903	69689
40	2969	69456
41	3066	69942
42	3168	70522
43	3252	70675
44	3333	70751
45	3420	70929
46	3496	70893
47	3582	71060
48	3666	71159
49	3748	71225
50	3831	71299
51	3901	71125
52	3976	71044
53	4042	70819
54	4110	70632
55	4186	70575
56	4280	70811
57	4365	70895
58	4475	71377
59	4559	71435
60	4620	71117
61	4681	70821
62	4745	70581
63	4807	70307
64	4873	70096
65	5037	71290
66	5183	72184
67	5279	72366
68	5342	72084
69	5400	71754
70	5457	71410
71	5522	71176
72	5614	71295
73	5708	71437
74	5789	71404
75	5880	71491
76	5983	71723
77	6088	71968
78	6212	72422
79	6318	72661
80	6407	72693
81	6475	72491
82	6548	72349
83	6620	72194
84	6694	72067
85	6781	72077
86	6852	71913
87	6920	71716
88	6998	71636
89	7087	71662
90	7164	71563
91	7221	71275
92	7278	70983
93	7340	70751
94	7399	70492
95	7460	70252
96	7528	70087
97	7614	70083
98	7695	70038
99	7757	69819
100	7823	69638
101	7886	69432
102	7949	69226
103	8003	68955
104	8060	68704
105	8119	68483
106	8176	68239
107	8237	68038
108	8298	67834
109	8377	67783
110	8463	67788
111	8568	67936
112	8655	67939
113	8748	67992
114	8839	68029
115	8936	68101
116	9037	68205
117	9139	68317
118	9241	68419
119	9319	68341
120	9414	68388
121	9534	68618
122	9648	68794
123	9756	68925
124	9834	68840
125	9899	68671
126	9970	68538
127	10034	68359
128	10111	68270
129	10182	68142
130	10246	67970
131	10301	67739
132	10360	67535
133	10418	67330
134	10488	67205
135	10550	67028
136	10618	66889
137	10679	66710
138	10736	66501
139	10791	66293
140	10851	66107
141	10930	66045
142	11015	66013
143	11081	65870
144	11143	65708
145	11205	65545
146	11266	65377
147	11328	65212
148	11416	65205
149	11496	65145
150	11578	65102
151	11684	65186
152	11753	65066
153	11829	64986
154	11898	64868
155	12017	65017
156	12189	65453
157	12283	65457
158	12414	65663
159	12539	65830
